site,informant,management,potential_rank
Atala Kamusio,ATA3,Create public awareness on WEPs,9
Atala Kamusio,ATA4,Create public awareness on WEPs,6
Atala Kamusio,ATA5,Create public awareness on WEPs,9
Atala Kamusio,ATA6,Create public awareness on WEPs,9
Atala Kamusio,ATA7,Create public awareness on WEPs,8
Atala Kamusio,ATA8,Create public awareness on WEPs,8
Atala Kamusio,ATA9,Create public awareness on WEPs,7
Atala Kamusio,ATA10,Create public awareness on WEPs,5
Atala Kamusio,ATA11,Create public awareness on WEPs,9
Atala Kamusio,ATA12,Create public awareness on WEPs,7
Atala Kamusio,ATA13,Create public awareness on WEPs,7
Atala Kamusio,ATA14,Create public awareness on WEPs,6
Atala Kamusio,ATA1,Cultivate WEPs,10
Atala Kamusio,ATA2,Cultivate WEPs,11
Atala Kamusio,ATA3,Cultivate WEPs,10
Atala Kamusio,ATA4,Cultivate WEPs,10
Atala Kamusio,ATA5,Cultivate WEPs,9
Atala Kamusio,ATA6,Cultivate WEPs,11
Atala Kamusio,ATA7,Cultivate WEPs,11
Atala Kamusio,ATA8,Cultivate WEPs,11
Atala Kamusio,ATA9,Cultivate WEPs,9
Atala Kamusio,ATA10,Cultivate WEPs,10
Atala Kamusio,ATA11,Cultivate WEPs,10
Atala Kamusio,ATA12,Cultivate WEPs,7
Atala Kamusio,ATA13,Cultivate WEPs,10
Atala Kamusio,ATA14,Cultivate WEPs,10
Atala Kamusio,ATA1,Preserve local knowledge about the WEPs,10
Atala Kamusio,ATA2,Preserve local knowledge about the WEPs,10
Atala Kamusio,ATA3,Preserve local knowledge about the WEPs,10
Atala Kamusio,ATA4,Preserve local knowledge about the WEPs,9
Atala Kamusio,ATA5,Preserve local knowledge about the WEPs,12
Atala Kamusio,ATA6,Preserve local knowledge about the WEPs,8
Atala Kamusio,ATA7,Preserve local knowledge about the WEPs,12
Atala Kamusio,ATA8,Preserve local knowledge about the WEPs,10
Atala Kamusio,ATA9,Preserve local knowledge about the WEPs,11
Atala Kamusio,ATA10,Preserve local knowledge about the WEPs,8
Atala Kamusio,ATA11,Preserve local knowledge about the WEPs,8
Atala Kamusio,ATA12,Preserve local knowledge about the WEPs,10
Atala Kamusio,ATA13,Preserve local knowledge about the WEPs,9
Atala Kamusio,ATA14,Preserve local knowledge about the WEPs,10
Atala Kamusio,ATA1,Control harvesting for food and fodder,9
Atala Kamusio,ATA2,Control harvesting for food and fodder,7
Atala Kamusio,ATA3,Control harvesting for food and fodder,7
