plot_id,site,threat,rank_threat
"NAS_49",Nasiger,Overstocking/overgrazing,9
"NAS_50",Nasiger,Overstocking/overgrazing,9
"NAS_51",Nasiger,Overstocking/overgrazing,8
"NAS_52",Nasiger,Overstocking/overgrazing,6
"NAS_53",Nasiger,Overstocking/overgrazing,4
"NAS_54",Nasiger,Overstocking/overgrazing,6
"NAS_55",Nasiger,Overstocking/overgrazing,8
"NAS_56",Nasiger,Overstocking/overgrazing,9
"NAS_57",Nasiger,Overstocking/overgrazing,9
"NAS_58",Nasiger,Overstocking/overgrazing,7
"NAS_59",Nasiger,Overstocking/overgrazing,8
"NAS_60",Nasiger,Overstocking/overgrazing,7
"NAS_61",Nasiger,Overstocking/overgrazing,5
"NAS_62",Nasiger,Overstocking/overgrazing,9
"NAS_63",Nasiger,Overstocking/overgrazing,8
"NAS_64",Nasiger,Overstocking/overgrazing,7
"NAS_65",Nasiger,Overstocking/overgrazing,9
"NAS_66",Nasiger,Overstocking/overgrazing,8
"NAS_67",Nasiger,Overstocking/overgrazing,8
"NAS_68",Nasiger,Overstocking/overgrazing,7
"NAS_69",Nasiger,Overstocking/overgrazing,7
"NAS_70",Nasiger,Overstocking/overgrazing,9
"NAS_71",Nasiger,Overstocking/overgrazing,5
"NAS_72",Nasiger,Overstocking/overgrazing,4
"NAS_73",Nasiger,Overstocking/overgrazing,8
"NAS_74",Nasiger,Overstocking/overgrazing,8
"NAS_75",Nasiger,Overstocking/overgrazing,8
"NAS_76",Nasiger,Overstocking/overgrazing,9
"NAS_77",Nasiger,Overstocking/overgrazing,7
"NAS_78",Nasiger,Overstocking/overgrazing,8
"NAS_79",Nasiger,Overstocking/overgrazing,7
"NAS_80",Nasiger,Overstocking/overgrazing,8
ATA_1,Atala Kamusio,Overstocking/overgrazing,6
ATA_2,Atala Kamusio,Overstocking/overgrazing,8
ATA_3,Atala Kamusio,Overstocking/overgrazing,7
ATA_4,Atala Kamusio,Overstocking/overgrazing,7
ATA_5,Atala Kamusio,Overstocking/overgrazing,9
ATA_6,Atala Kamusio,Overstocking/overgrazing,10
ATA_7,Atala Kamusio,Overstocking/overgrazing,7
ATA_8,Atala Kamusio,Overstocking/overgrazing,10
ATA_9,Atala Kamusio,Overstocking/overgrazing,10
ATA_10,Atala Kamusio,Overstocking/overgrazing,9
ATA_11,Atala Kamusio,Overstocking/overgrazing,7
ATA_12,Atala Kamusio,Overstocking/overgrazing,8
ATA_13,Atala Kamusio,Overstocking/overgrazing,7
